Location,Property_Type,Bedrooms,Bathrooms,House_Size_sqm,Lot_Size_sqm,Year_Built,Furnishing,Water_Supply,Power_Supply,Annual_Rent_NGN
Challenge,Room,1,1,19,319,2003,Unfurnished,Borehole,Moderate,182000
Ajibode,Self Contained,1,1,33,537,2016,Fully Furnished,Borehole,Poor,421000
Agbowo,Self Contained,1,1,38,447,2011,Unfurnished,Borehole,Stable,353000
Ajibode,Room,1,1,22,593,1998,Unfurnished,Public,Moderate,175000
Mokola,Room,1,1,23,344,2010,Unfurnished,Borehole,Stable,142000
Akobo,Self Contained,1,1,36,582,1992,Semi-Furnished,Borehole,Poor,371000
Agbowo,Self Contained,1,1,32,470,2020,Unfurnished,Public,Stable,318000
Ajibode,Mini Flat,1,2,50,325,2002,Fully Furnished,Well,Poor,546000
Agbowo,2 Bedroom Flat,2,2,70,311,1991,Semi-Furnished,Well,Poor,733000
Agbowo,Self Contained,1,1,32,338,2003,Semi-Furnished,Borehole,Poor,300000
Oluyole,Self Contained,1,1,27,512,1996,Unfurnished,Borehole,Moderate,447000
Akobo,Mini Flat,1,2,53,571,2018,Semi-Furnished,Borehole,Stable,740000
Ring Road,2 Bedroom Flat,2,2,91,598,1993,Unfurnished,Borehole,Moderate,760000
Bodija,Mini Flat,1,2,63,605,1993,Unfurnished,Public,Moderate,662000
Ajibode,2 Bedroom Flat,2,2,86,413,2013,Unfurnished,Borehole,Moderate,736000
Oluyole,3 Bedroom Flat,3,3,153,740,2010,Unfurnished,Borehole,Moderate,1394000
Challenge,Room,1,1,29,470,2017,Semi-Furnished,Public,Moderate,161000
Akobo,2 Bedroom Flat,2,2,94,631,1997,Unfurnished,Well,Stable,798000
Challenge,Room,1,1,21,520,2006,Semi-Furnished,Public,Moderate,200000
Bodija,Self Contained,1,1,27,617,1998,Unfurnished,Borehole,Stable,418000
Bodija,2 Bedroom Flat,2,2,91,511,2009,Semi-Furnished,Public,Poor,1351000
Agbowo,Mini Flat,1,2,48,620,1994,Semi-Furnished,Borehole,Stable,650000
Ajibode,Room,1,1,21,548,2018,Unfurnished,Public,Moderate,223000
Ajibode,Mini Flat,1,2,48,696,2001,Fully Furnished,Borehole,Poor,769000
Ajibode,Room,1,1,22,402,2021,Semi-Furnished,Borehole,Moderate,209000
Akobo,Self Contained,1,1,26,231,2020,Unfurnished,Borehole,Poor,449000
Agbowo,2 Bedroom Flat,2,2,75,374,2020,Unfurnished,Borehole,Moderate,725000
Bodija,Self Contained,1,1,39,742,1990,Unfurnished,Borehole,Poor,424000
Ring Road,Self Contained,1,1,30,522,1994,Unfurnished,Borehole,Moderate,381000
Agbowo,Mini Flat,1,2,58,566,2001,Unfurnished,Borehole,Moderate,548000
Agbowo,2 Bedroom Flat,2,2,87,360,2005,Semi-Furnished,Well,Poor,588000
Challenge,Mini Flat,1,2,52,561,2005,Unfurnished,Well,Stable,396000
Agbowo,Room,1,1,24,365,2010,Unfurnished,Borehole,Stable,223000
Ajibode,Self Contained,1,1,37,392,2022,Semi-Furnished,Borehole,Poor,362000
Agbowo,Self Contained,1,1,36,477,2015,Semi-Furnished,Public,Poor,350000
Ajibode,Room,1,1,22,630,1992,Unfurnished,Borehole,Moderate,155000
Apata,Self Contained,1,1,25,649,2012,Unfurnished,Well,Stable,238000
Challenge,Mini Flat,1,2,64,654,2014,Unfurnished,Public,Poor,458000
Akobo,2 Bedroom Flat,2,2,73,264,2009,Unfurnished,Well,Stable,907000
Ring Road,3 Bedroom Flat,3,3,136,548,2022,Semi-Furnished,Public,Poor,1016000
Challenge,Room,1,1,19,514,1994,Unfurnished,Borehole,Moderate,154000
Ajibode,Room,1,1,19,274,1993,Semi-Furnished,Well,Moderate,198000
Ring Road,Mini Flat,1,2,46,552,1997,Fully Furnished,Well,Moderate,587000
Bodija,Room,1,1,26,504,2000,Semi-Furnished,Borehole,Moderate,342000
Challenge,Room,1,1,27,642,2016,Unfurnished,Borehole,Moderate,191000
Ring Road,Self Contained,1,1,28,564,1999,Unfurnished,Well,Stable,278000
Agbowo,Room,1,1,20,451,2009,Unfurnished,Borehole,Moderate,202000
Ajibode,2 Bedroom Flat,2,2,87,716,2021,Unfurnished,Well,Stable,639000
Agbowo,2 Bedroom Flat,2,2,83,200,2016,Unfurnished,Public,Stable,641000
Agbowo,Room,1,1,24,538,2007,Unfurnished,Public,Moderate,211000
Mokola,Self Contained,1,1,35,232,2015,Fully Furnished,Borehole,Moderate,416000
Mokola,2 Bedroom Flat,2,2,90,385,2017,Fully Furnished,Borehole,Moderate,879000
Ajibode,3 Bedroom Flat,3,3,124,644,1990,Semi-Furnished,Borehole,Poor,1373000
Bodija,Room,1,1,23,320,2023,Unfurnished,Well,Moderate,245000
Agbowo,Room,1,1,26,293,2015,Semi-Furnished,Well,Moderate,235000
Agbowo,2 Bedroom Flat,2,2,94,978,1995,Semi-Furnished,Well,Moderate,916000
Ajibode,2 Bedroom Flat,2,2,75,305,2014,Semi-Furnished,Borehole,Moderate,950000
Agbowo,Room,1,1,19,847,2006,Unfurnished,Well,Moderate,201000
Apata,Self Contained,1,1,29,519,2015,Unfurnished,Borehole,Moderate,257000
Agbowo,Mini Flat,1,2,60,455,2010,Unfurnished,Borehole,Moderate,454000
Bodija,2 Bedroom Flat,2,2,75,652,2021,Unfurnished,Borehole,Moderate,993000
Oluyole,Room,1,1,23,790,2014,Semi-Furnished,Borehole,Stable,316000
Agbowo,Mini Flat,1,2,51,343,2021,Fully Furnished,Borehole,Moderate,737000
Ologuneru,2 Bedroom Flat,2,2,73,458,2008,Fully Furnished,Borehole,Moderate,745000
Ologuneru,Self Contained,1,1,35,702,1991,Unfurnished,Borehole,Moderate,302000
Agbowo,Room,1,1,23,601,2005,Fully Furnished,Well,Stable,313000
Bodija,Room,1,1,29,748,2005,Semi-Furnished,Borehole,Poor,338000
Agbowo,Room,1,1,24,642,2022,Unfurnished,Public,Stable,232000
Agbowo,2 Bedroom Flat,2,2,89,875,2013,Unfurnished,Borehole,Poor,890000
Ajibode,Room,1,1,25,582,2020,Semi-Furnished,Well,Stable,194000
Akobo,Room,1,1,26,589,2012,Unfurnished,Public,Moderate,312000
Bodija,Self Contained,1,1,27,607,2006,Unfurnished,Borehole,Poor,429000
Ajibode,Room,1,1,26,524,2022,Unfurnished,Well,Moderate,239000
Agbowo,Room,1,1,24,702,2008,Unfurnished,Borehole,Poor,111000
Ring Road,Room,1,1,24,592,2010,Unfurnished,Borehole,Moderate,222000
Agbowo,Self Contained,1,1,39,691,2008,Semi-Furnished,Borehole,Stable,358000
Ajibode,Mini Flat,1,2,49,720,1997,Fully Furnished,Borehole,Moderate,571000
Bodija,Self Contained,1,1,28,627,2015,Fully Furnished,Borehole,Stable,677000
Ologuneru,Room,1,1,19,640,2007,Unfurnished,Borehole,Stable,183000
Agbowo,Self Contained,1,1,34,368,2003,Semi-Furnished,Borehole,Stable,304000
Oluyole,Self Contained,1,1,31,450,2007,Semi-Furnished,Well,Stable,416000
Challenge,3 Bedroom Flat,3,3,117,701,2017,Unfurnished,Borehole,Moderate,1019000
Agbowo,Duplex,4,4,217,806,2022,Unfurnished,Borehole,Moderate,1517000
Oluyole,Room,1,1,20,200,1995,Unfurnished,Borehole,Poor,232000
Agbowo,Room,1,1,20,447,1996,Semi-Furnished,Borehole,Moderate,227000
Akobo,2 Bedroom Flat,2,2,99,554,1994,Unfurnished,Borehole,Poor,943000
Akobo,3 Bedroom Flat,3,3,138,391,2016,Semi-Furnished,Well,Stable,1230000
Bodija,Self Contained,1,1,37,401,1997,Fully Furnished,Well,Moderate,713000
Ajibode,Mini Flat,1,2,57,635,2022,Fully Furnished,Well,Stable,576000
Mokola,2 Bedroom Flat,2,2,86,834,2001,Unfurnished,Borehole,Stable,579000
Agbowo,Mini Flat,1,2,51,200,2004,Unfurnished,Well,Stable,512000
Ajibode,2 Bedroom Flat,2,2,83,519,2006,Unfurnished,Public,Poor,695000
Ajibode,Room,1,1,22,633,2018,Semi-Furnished,Public,Moderate,230000
Akobo,Room,1,1,18,690,1992,Semi-Furnished,Borehole,Moderate,295000
Oluyole,Room,1,1,21,607,2000,Semi-Furnished,Borehole,Moderate,336000
Ajibode,Room,1,1,21,867,2015,Unfurnished,Borehole,Stable,171000
Bodija,2 Bedroom Flat,2,2,78,555,1995,Unfurnished,Borehole,Poor,1329000
Agbowo,Room,1,1,29,786,2013,Semi-Furnished,Well,Moderate,196000
Akobo,Mini Flat,1,2,61,433,2023,Unfurnished,Borehole,Moderate,698000
Ajibode,Room,1,1,18,560,2013,Unfurnished,Borehole,Stable,204000
Oluyole,Self Contained,1,1,38,331,2008,Unfurnished,Public,Moderate,333000
Agbowo,Self Contained,1,1,38,712,2002,Unfurnished,Borehole,Poor,278000
Apata,Room,1,1,21,528,1998,Fully Furnished,Borehole,Moderate,217000
Ajibode,Self Contained,1,1,26,614,2008,Fully Furnished,Borehole,Moderate,356000
Agbowo,Self Contained,1,1,26,493,2021,Semi-Furnished,Borehole,Poor,350000
Ajibode,Room,1,1,29,655,2010,Semi-Furnished,Borehole,Poor,238000
Apata,Mini Flat,1,2,48,621,2021,Unfurnished,Public,Moderate,523000
Ring Road,Room,1,1,23,370,2001,Unfurnished,Borehole,Stable,209000
Agbowo,Room,1,1,20,381,2018,Unfurnished,Borehole,Stable,229000
Akobo,Self Contained,1,1,32,545,2022,Unfurnished,Well,Poor,425000
Mokola,Self Contained,1,1,35,668,1990,Semi-Furnished,Well,Poor,291000
Bodija,Room,1,1,20,885,1993,Unfurnished,Borehole,Moderate,332000
Bodija,2 Bedroom Flat,2,2,98,604,2002,Unfurnished,Borehole,Poor,964000
Agbowo,2 Bedroom Flat,2,2,96,731,2012,Semi-Furnished,Borehole,Stable,917000
Ajibode,Room,1,1,28,259,2017,Semi-Furnished,Borehole,Stable,239000
Ring Road,Self Contained,1,1,35,912,2001,Semi-Furnished,Borehole,Stable,328000
Ring Road,Room,1,1,24,659,2008,Unfurnished,Public,Poor,227000
Akobo,Self Contained,1,1,25,541,2022,Fully Furnished,Public,Moderate,609000
Agbowo,Room,1,1,20,520,2007,Unfurnished,Well,Stable,215000
Agbowo,Self Contained,1,1,30,350,2023,Unfurnished,Well,Moderate,295000
Oluyole,3 Bedroom Flat,3,3,111,402,2019,Fully Furnished,Borehole,Stable,1453000
Ring Road,Self Contained,1,1,34,893,1995,Unfurnished,Borehole,Moderate,305000
Ring Road,Mini Flat,1,2,57,371,1993,Unfurnished,Borehole,Moderate,537000
Challenge,Self Contained,1,1,27,368,2001,Unfurnished,Well,Moderate,275000
Akobo,Mini Flat,1,2,57,423,2012,Unfurnished,Borehole,Moderate,746000
Ajibode,Room,1,1,18,334,2017,Semi-Furnished,Well,Poor,261000
Ajibode,Mini Flat,1,2,64,552,2000,Unfurnished,Well,Stable,431000
Ring Road,3 Bedroom Flat,3,3,155,746,2017,Unfurnished,Public,Moderate,882000
Akobo,Mini Flat,1,2,54,440,2023,Unfurnished,Borehole,Stable,570000
Ajibode,Room,1,1,23,302,2023,Unfurnished,Borehole,Poor,272000
Ajibode,Mini Flat,1,2,56,602,2010,Unfurnished,Borehole,Moderate,437000
Oluyole,Mini Flat,1,2,49,539,2017,Semi-Furnished,Well,Stable,713000
Ajibode,Mini Flat,1,2,61,730,2023,Unfurnished,Well,Poor,430000
Ajibode,Room,1,1,22,468,2018,Semi-Furnished,Public,Poor,211000
Bodija,3 Bedroom Flat,3,3,151,503,2015,Unfurnished,Borehole,Poor,1686000
Oluyole,3 Bedroom Flat,3,3,151,523,2002,Semi-Furnished,Borehole,Moderate,1150000
Akobo,Self Contained,1,1,35,566,2023,Fully Furnished,Borehole,Moderate,605000
Agbowo,Self Contained,1,1,35,479,2008,Unfurnished,Borehole,Moderate,350000
Oluyole,Room,1,1,27,450,1997,Semi-Furnished,Borehole,Moderate,259000
Agbowo,Duplex,4,4,243,216,2018,Unfurnished,Borehole,Stable,2399000
Agbowo,2 Bedroom Flat,2,2,77,448,2005,Semi-Furnished,Public,Moderate,874000
Challenge,Mini Flat,1,2,52,678,2017,Unfurnished,Public,Poor,433000
Akobo,Mini Flat,1,2,56,703,2019,Unfurnished,Well,Moderate,750000
Mokola,Room,1,1,21,465,2012,Unfurnished,Well,Stable,182000
Akobo,Room,1,1,23,783,2018,Unfurnished,Well,Moderate,288000
Akobo,Room,1,1,26,544,2009,Unfurnished,Borehole,Moderate,298000
Ajibode,Self Contained,1,1,30,309,2006,Semi-Furnished,Borehole,Moderate,360000
Agbowo,Room,1,1,27,252,2015,Unfurnished,Well,Poor,214000
Agbowo,2 Bedroom Flat,2,2,80,769,2022,Semi-Furnished,Well,Moderate,797000
Agbowo,Self Contained,1,1,33,482,2003,Semi-Furnished,Borehole,Moderate,364000
Ologuneru,Self Contained,1,1,31,331,2020,Fully Furnished,Public,Moderate,348000
Agbowo,Room,1,1,25,200,2005,Unfurnished,Borehole,Stable,176000
Ring Road,Mini Flat,1,2,59,478,2010,Semi-Furnished,Borehole,Moderate,560000
Akobo,2 Bedroom Flat,2,2,71,622,2008,Unfurnished,Well,Poor,793000
Challenge,Mini Flat,1,2,52,424,1995,Unfurnished,Borehole,Moderate,338000
Bodija,Room,1,1,23,360,2012,Unfurnished,Borehole,Moderate,272000
Akobo,2 Bedroom Flat,2,2,97,451,2015,Semi-Furnished,Well,Moderate,1170000
Bodija,Room,1,1,20,773,1998,Semi-Furnished,Well,Poor,228000
Ajibode,2 Bedroom Flat,2,2,70,299,2002,Unfurnished,Borehole,Poor,711000
Oluyole,Self Contained,1,1,36,434,2004,Unfurnished,Borehole,Stable,358000
Agbowo,Room,1,1,18,767,2021,Fully Furnished,Borehole,Poor,294000
Ajibode,Self Contained,1,1,31,638,2006,Unfurnished,Borehole,Stable,370000
Akobo,Mini Flat,1,2,49,582,2018,Semi-Furnished,Well,Moderate,730000
Ajibode,Room,1,1,23,433,2007,Unfurnished,Well,Stable,155000
Apata,2 Bedroom Flat,2,2,76,555,2023,Fully Furnished,Well,Poor,829000
Apata,Self Contained,1,1,28,453,2014,Unfurnished,Borehole,Poor,258000
Ring Road,2 Bedroom Flat,2,2,73,395,2001,Unfurnished,Borehole,Moderate,628000
Agbowo,2 Bedroom Flat,2,2,86,355,2004,Unfurnished,Borehole,Moderate,531000
Ajibode,Room,1,1,21,691,2013,Unfurnished,Borehole,Moderate,178000
Apata,Mini Flat,1,2,51,539,1998,Unfurnished,Borehole,Stable,395000
Agbowo,Room,1,1,18,606,2009,Unfurnished,Public,Stable,129000
Ologuneru,Mini Flat,1,2,59,577,2014,Unfurnished,Well,Poor,462000
Ologuneru,Self Contained,1,1,31,629,2013,Fully Furnished,Well,Moderate,429000
Mokola,Self Contained,1,1,33,504,2015,Fully Furnished,Well,Stable,322000
Agbowo,2 Bedroom Flat,2,2,84,463,2003,Unfurnished,Well,Stable,690000
Agbowo,Room,1,1,28,403,1994,Unfurnished,Well,Poor,226000
Mokola,Self Contained,1,1,37,295,2018,Semi-Furnished,Well,Poor,321000
Agbowo,Self Contained,1,1,32,348,1997,Unfurnished,Well,Poor,366000
Ajibode,Room,1,1,26,484,2006,Unfurnished,Borehole,Moderate,199000
Bodija,Mini Flat,1,2,48,261,2011,Unfurnished,Borehole,Moderate,851000
Apata,Self Contained,1,1,31,301,2007,Semi-Furnished,Borehole,Moderate,287000
Oluyole,2 Bedroom Flat,2,2,90,737,2016,Semi-Furnished,Well,Poor,1077000
Akobo,Self Contained,1,1,27,590,1991,Unfurnished,Borehole,Poor,459000
Ajibode,Self Contained,1,1,30,468,1990,Unfurnished,Well,Moderate,295000
Akobo,Duplex,4,4,183,958,1997,Unfurnished,Well,Stable,3372000
Ologuneru,Room,1,1,19,253,2010,Semi-Furnished,Well,Moderate,220000
Ajibode,Room,1,1,21,725,2013,Unfurnished,Borehole,Moderate,192000
Bodija,Mini Flat,1,2,47,529,1991,Semi-Furnished,Borehole,Stable,961000
Ring Road,Self Contained,1,1,28,691,2017,Unfurnished,Borehole,Stable,278000
Challenge,Self Contained,1,1,37,569,2023,Semi-Furnished,Borehole,Poor,338000
Oluyole,2 Bedroom Flat,2,2,73,212,2001,Unfurnished,Borehole,Poor,1028000
Oluyole,Self Contained,1,1,27,567,1994,Unfurnished,Well,Moderate,414000
Agbowo,2 Bedroom Flat,2,2,87,610,1997,Semi-Furnished,Borehole,Moderate,865000
Agbowo,Mini Flat,1,2,58,200,2019,Unfurnished,Borehole,Moderate,555000
Challenge,Self Contained,1,1,34,899,1999,Unfurnished,Borehole,Poor,254000
Mokola,Room,1,1,24,606,2010,Semi-Furnished,Borehole,Poor,227000
Mokola,Room,1,1,27,670,2023,Unfurnished,Borehole,Stable,180000
Ring Road,3 Bedroom Flat,3,3,122,340,2023,Unfurnished,Well,Moderate,989000
Bodija,Self Contained,1,1,28,674,1993,Unfurnished,Borehole,Moderate,554000
Bodija,Room,1,1,21,746,2000,Fully Furnished,Borehole,Moderate,453000
Challenge,Room,1,1,25,595,2011,Unfurnished,Well,Poor,194000
Akobo,2 Bedroom Flat,2,2,97,548,2012,Semi-Furnished,Well,Poor,1073000
Oluyole,Room,1,1,18,389,2023,Unfurnished,Well,Moderate,190000
Challenge,Mini Flat,1,2,55,511,2019,Unfurnished,Well,Poor,483000
Ring Road,Room,1,1,23,457,2014,Unfurnished,Well,Stable,178000
Agbowo,3 Bedroom Flat,3,3,156,652,2013,Semi-Furnished,Borehole,Stable,1091000
Agbowo,Self Contained,1,1,39,397,2014,Fully Furnished,Well,Moderate,392000
Ajibode,Room,1,1,21,651,2019,Unfurnished,Well,Moderate,223000
Akobo,3 Bedroom Flat,3,3,132,398,2005,Semi-Furnished,Borehole,Poor,1430000
Ajibode,Self Contained,1,1,38,502,1999,Unfurnished,Public,Stable,303000
Bodija,Mini Flat,1,2,62,660,2020,Fully Furnished,Public,Moderate,1211000
Bodija,Self Contained,1,1,27,423,2000,Unfurnished,Well,Moderate,410000
Agbowo,Room,1,1,24,667,1998,Fully Furnished,Well,Moderate,279000
Akobo,Room,1,1,23,649,2008,Unfurnished,Borehole,Poor,272000
Ajibode,Room,1,1,21,501,1994,Fully Furnished,Borehole,Moderate,330000
Ajibode,Room,1,1,20,759,2001,Semi-Furnished,Well,Moderate,235000
Mokola,Room,1,1,19,564,1999,Fully Furnished,Borehole,Moderate,254000
Agbowo,Room,1,1,27,748,2003,Semi-Furnished,Public,Stable,208000
Ajibode,3 Bedroom Flat,3,3,129,872,2009,Unfurnished,Well,Moderate,725000
Bodija,Room,1,1,23,506,2009,Unfurnished,Well,Moderate,311000
Challenge,Self Contained,1,1,36,666,2014,Unfurnished,Well,Moderate,312000
Ajibode,Room,1,1,23,435,1994,Semi-Furnished,Borehole,Stable,246000
Akobo,Room,1,1,27,364,2016,Unfurnished,Borehole,Moderate,287000
Ajibode,Mini Flat,1,2,50,514,1991,Unfurnished,Public,Moderate,410000
Ajibode,3 Bedroom Flat,3,3,148,304,2001,Semi-Furnished,Well,Moderate,1182000
Bodija,Self Contained,1,1,36,381,2017,Unfurnished,Well,Moderate,415000
Bodija,Room,1,1,28,656,2002,Unfurnished,Borehole,Moderate,282000
Akobo,Duplex,4,4,294,457,2010,Unfurnished,Public,Stable,2861000
Oluyole,Room,1,1,22,677,1997,Fully Furnished,Borehole,Stable,249000
Ologuneru,Self Contained,1,1,31,603,2001,Unfurnished,Borehole,Poor,200000
Bodija,Self Contained,1,1,38,883,2000,Semi-Furnished,Borehole,Poor,624000
Agbowo,2 Bedroom Flat,2,2,80,644,2008,Unfurnished,Well,Moderate,746000
Challenge,2 Bedroom Flat,2,2,72,750,1997,Fully Furnished,Borehole,Moderate,910000
Agbowo,Mini Flat,1,2,64,622,2016,Unfurnished,Borehole,Stable,530000
Agbowo,Self Contained,1,1,31,606,1996,Unfurnished,Borehole,Poor,284000
Ajibode,2 Bedroom Flat,2,2,88,759,2010,Unfurnished,Borehole,Poor,684000
Ajibode,2 Bedroom Flat,2,2,80,670,2016,Semi-Furnished,Well,Moderate,773000
Ologuneru,2 Bedroom Flat,2,2,72,587,2003,Semi-Furnished,Borehole,Stable,594000
Mokola,Mini Flat,1,2,55,587,2021,Unfurnished,Public,Stable,506000
Oluyole,Room,1,1,21,646,2018,Unfurnished,Borehole,Moderate,234000
Agbowo,Room,1,1,18,429,2013,Fully Furnished,Well,Poor,258000
Ajibode,Self Contained,1,1,31,421,2017,Unfurnished,Well,Poor,339000
Ajibode,Self Contained,1,1,33,806,2013,Unfurnished,Borehole,Poor,295000
Agbowo,2 Bedroom Flat,2,2,77,885,1991,Unfurnished,Borehole,Poor,639000
Bodija,Room,1,1,28,382,2020,Semi-Furnished,Borehole,Moderate,348000
Oluyole,Mini Flat,1,2,60,429,2001,Unfurnished,Well,Moderate,483000
Oluyole,Self Contained,1,1,29,755,1990,Unfurnished,Well,Moderate,369000
Agbowo,Mini Flat,1,2,61,646,2010,Unfurnished,Borehole,Stable,522000
Apata,Room,1,1,18,671,2018,Semi-Furnished,Borehole,Poor,190000
Oluyole,Self Contained,1,1,32,711,2019,Unfurnished,Borehole,Moderate,367000
Bodija,Room,1,1,25,506,1990,Unfurnished,Well,Poor,370000
Akobo,Room,1,1,22,609,2011,Unfurnished,Public,Poor,245000
